FPTS,Pitcher,Opp,Rst%,W%,win_percent_adjustment,adj_fpts,date
13.3,Dylan Cease,SF,97.6%,64.0,0.84,14.14,2024-03-30
12.7,Tanner Bibee,@OAK,89.2%,58.0,0.48,13.18,2024-03-30
12.3,Aaron Nola,ATL,99.7%,47.0,-0.18,12.120000000000001,2024-03-30
12.2,Max Fried,@PHI,99.3%,53.0,0.18,12.379999999999999,2024-03-30
12.2,Yoshinobu Yamamoto,STL,99.3%,59.0,0.54,12.739999999999998,2024-03-30
12.0,Logan Gilbert,BOS,99.1%,49.0,-0.06,11.94,2024-03-30
11.9,DL Hall,@NYM,9.0%,50.0,0.0,11.9,2024-03-30
11.7,Jared Jones,@MIA,11.2%,61.0,0.66,12.36,2024-03-30
11.6,Kenta Maeda,@CWS,54.6%,57.0,0.42,12.02,2024-03-30
10.9,Hunter Greene,WSH,90.9%,54.0,0.24,11.14,2024-03-30
10.7,Luis Severino,MIL,20.6%,50.0,0.0,10.7,2024-03-30
10.6,Michael Soroka,DET,7.1%,43.0,-0.42,10.18,2024-03-30
10.3,Grayson Rodriguez,LAA,96.7%,53.0,0.18,10.48,2024-03-30
10.2,Kutter Crawford,@SEA,36.5%,51.0,0.06,10.26,2024-03-30
9.6,Lance Lynn,@LAD,47.7%,41.0,-0.54,9.059999999999999,2024-03-30
9.4,Joe Ryan,@KC,97.1%,52.0,0.12,9.52,2024-03-30
9.4,Zack Littell,TOR,5.2%,56.0,0.36,9.76,2024-03-30
9.3,Hunter Brown,NYY,88.5%,42.0,-0.48,8.82,2024-03-30
9.1,Marcus Stroman,@HOU,59.4%,58.0,0.48,9.58,2024-03-30
8.9,Yusei Kikuchi,@TB,39.4%,44.0,-0.36,8.540000000000001,2024-03-30
8.9,Griffin Canning,@BAL,16.6%,47.0,-0.18,8.72,2024-03-30
8.1,JP Sears,CLE,8.6%,42.0,-0.48,7.619999999999999,2024-03-30
8.1,Seth Lugo,MIN,13.0%,48.0,-0.12,7.9799999999999995,2024-03-30
8.0,Tommy Henry,COL,1.9%,57.0,0.42,8.42,2024-03-30
6.4,Patrick Corbin,@CIN,1.0%,46.0,-0.24,6.16,2024-03-30
6.2,Ryan Weathers,PIT,1.7%,39.0,-0.66,5.54,2024-03-30
5.3,Jordan Hicks,@SD,15.2%,36.0,-0.84,4.46,2024-03-30
4.9,Kyle Hendricks,@TEX,3.7%,53.0,0.18,5.08,2024-03-30
4.6,Austin Gomber,@ARI,0.3%,43.0,-0.42,4.18,2024-03-30
3.5,Cody Bradford,CHC,0.7%,47.0,-0.18,3.32,2024-03-30
